"year","title","artists","All artist","main_artist","genius_url","lyrics"
2021,"Buy Dirt","Jordan Davis","Luke Bryan","Jordan Davis","https://genius.com/Jordan-davis-buy-dirt-lyrics",NA
2020,"I Hope","Gabby Barrett",NA,"Gabby Barrett","https://genius.com/Gabby-barrett-i-hope-lyrics",NA
2020,"More Than My Hometown","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-more-than-my-hometown-lyrics",NA
2020,"The Bones","Maren Morris",NA,"Maren Morris","https://genius.com/Maren-morris-the-bones-lyrics",NA
2020,"10,000 Hours","Dan + Shay","Justin Bieber","Dan + Shay","https://genius.com/Dan-shay-and-justin-bieber-10000-hours-lyrics",NA
2020,"One Margarita","Luke Bryan",NA,"Luke Bryan","https://genius.com/Luke-bryan-one-margarita-lyrics",NA
2020,"Good Time","Nika Moon",NA,"Nika Moon","https://genius.com/Niko-moon-good-time-lyrics",NA
2020,"Chasin' You","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-chasin-you-lyrics",NA
2020,"Nobody But You","Blake Shelton","Gwen Stefani","Blake Shelton","https://genius.com/Blake-shelton-nobody-but-you-lyrics",NA
2020,"I Hope You're Happy Now","Carly Pearce","Lee Brice","Carly Pearce","https://genius.com/Carly-pearce-i-hope-youre-happy-now-lyrics",NA
2020,"Hard to Forget","Sam Hunt",NA,"Sam Hunt","https://genius.com/Sam-hunt-hard-to-forget-lyrics",NA
2019,"Whiskey Glasses","Morgan Wallen",NA,"Morgan Wallen","https://genius.com/Morgan-wallen-whiskey-glasses-lyrics",NA
2019,"10,000 Hours","Dan + Shay",NA,"Dan + Shay","https://genius.com/Dan-shay-and-justin-bieber-10000-hours-lyrics",NA
2019,"Speechless","Dan + Shay",NA,"Dan + Shay","https://genius.com/Dan-shay-speechless-lyrics",NA
2019,"God's Country","Blake Shelton",NA,"Blake Shelton","https://genius.com/Blake-shelton-gods-country-lyrics",NA
2019,"Beer Never Broke My Heart","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-beer-never-broke-my-heart-lyrics",NA
2019,"The Bones","Maren Morris",NA,"Maren Morris","https://genius.com/Maren-morris-the-bones-lyrics",NA
2019,"Beautiful Crazy","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-beautiful-crazy-lyrics",NA
2019,"All to Myself","Dan + Shay",NA,"Dan + Shay","https://genius.com/Dan-shay-all-to-myself-lyrics",NA
2019,"Rumor","Lee Brice",NA,"Lee Brice","https://genius.com/Lee-brice-rumor-lyrics",NA
2019,"The Git Up","Blanco Brown",NA,"Blanco Brown","https://genius.com/Blanco-brown-the-git-up-lyrics",NA
2018,"Meant To Be","Bebe Rexhan","Florida Georgia Line","Bebe Rexhan","https://genius.com/Bebe-rexha-and-florida-georgia-line-meant-to-be-lyrics",NA
2018,"Tequila","Dan + Shay",NA,"Dan + Shay","https://genius.com/Dan-shay-tequila-lyrics",NA
2018,"Heaven","Kane Brown",NA,"Kane Brown","https://genius.com/Kane-brown-heaven-lyrics",NA
2018,"You Make It Easy","Jason Aldean",NA,"Jason Aldean","https://genius.com/Jason-aldean-you-make-it-easy-lyrics",NA
2018,"Speechless","Dan + Shay",NA,"Dan + Shay","https://genius.com/Dan-shay-speechless-lyrics",NA
2018,"Get Along","Kenny Chesney",NA,"Kenny Chesney","https://genius.com/Kenny-chesney-get-along-lyrics",NA
2018,"One Number Away","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-one-number-away-lyrics",NA
2018,"Simple","Florida Georgia Line",NA,"Florida Georgia Line","https://genius.com/Florida-georgia-line-simple-lyrics",NA
2018,"Marry Me","Thomas Rhett",NA,"Thomas Rhett","https://genius.com/Thomas-rhett-marry-me-lyrics",NA
2018,"Beautiful Crazy","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-beautiful-crazy-lyrics",NA
2017,"Body Like a Back Road","Sam Hunt",NA,"Sam Hunt","https://genius.com/Sam-hunt-body-like-a-back-road-lyrics",NA
2017,"In Case You Didn't Know","Brett Young",NA,"Brett Young","https://genius.com/Brett-young-in-case-you-didnt-know-lyrics",NA
2017,"Meant To Be","Bebe Rexhan",NA,"Bebe Rexhan","https://genius.com/Bebe-rexha-and-florida-georgia-line-meant-to-be-lyrics",NA
2017,"Hurrican","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-hurricane-lyrics",NA
2017,"Small Town Boy","Dustin Lynch",NA,"Dustin Lynch","https://genius.com/Dustin-lynch-small-town-boy-lyrics",NA
2017,"Broken Halos","Chris Stapleton",NA,"Chris Stapleton","https://genius.com/Chris-stapleton-broken-halos-lyrics",NA
2017,"When It Rains It Pours","Luke Combs",NA,"Luke Combs","https://genius.com/Luke-combs-when-it-rains-it-pours-lyrics",NA
2017,"The Figher","Keither Urban","Carrie Underwood","Keither Urban",NA,NA
2017,"Craving You","Thomas Rhett","Maren Morris","Thomas Rhett","https://genius.com/Thomas-rhett-craving-you-lyrics",NA
2017,"Dirt On My Boots","Jon Pardi",NA,"Jon Pardi","https://genius.com/Jon-pardi-dirt-on-my-boots-lyrics",NA
2016,"H.O.L.Y.","Florida Georgia Line",NA,"Florida Georgia Line","https://genius.com/Country-genius-country-songs-about-drinking-alcohol-lyrics",NA
2016,"Blue Ain't Your Color","Keith Urban",NA,"Keith Urban","https://genius.com/Keith-urban-blue-aint-your-color-lyrics",NA
2016,"Setting the World On Fire","Kenny Chesney","Pink","Kenny Chesney","https://genius.com/Kenny-chesney-setting-the-world-on-fire-lyrics",NA
2016,"You Should Be Here","Cole Swindell",NA,"Cole Swindell","https://genius.com/Cole-swindell-you-should-be-here-lyrics",NA
2016,"Somewhere On A Beach","Dierks Bentley",NA,"Dierks Bentley","https://genius.com/Dierks-bentley-somewhere-on-a-beach-lyrics",NA
